shopify_product_id,set_brand_to,variants_missing_brand,brand_on_other_variants,price_high,product_type,title,example_item_id
8769816756465,Ufinish by BetterPatio Outdoor Kitchens,24,ufinish by betterpatio outdoor kitchens,17600.0,bbq island,"Ufinish by BetterPatio Outdoor Kitchens Build Your Own Unfinished L-Shaped Outdoor Kitchen - Galvanized Steel, 11 feet / 11 feet",shopify_US_8769816756465_45999227928817
8762322911473,Ufinish by BetterPatio Outdoor Kitchens,43,betterpatio unfinished outdoor kitchens; ufinish by betterpatio outdoor kitchens,15822.0,bbq island,"Ufinish by BetterPatio Outdoor Kitchens Build Your Own Unfinished Linear Outdoor Kitchen - Cement Board - DIY, Grill on Left / Summerset Package / 12 ",shopify_US_8762322911473_45975969595633
9370738589937,BetterPatio.com,1,(none - whole product blank),10515.0,outdoor kitchens,"BetterPatio.com SUMMERSET PEACHTREE ISLAND COPI8-1 (C,R,L) Outdoor Kitchen Island - Aluminum - 8-Foot - Black",shopify_US_9370738589937_47145407676657
9370756677873,BetterPatio.com,1,(none - whole product blank),10515.0,outdoor kitchens,BetterPatio SUMMERSET PEACHTREE ISLAND COPI8-1 - Outdoor Kitchen - Aluminum - Wrinkle Black - 8ft,shopify_US_9370756677873_47145433530609
463532363,Cal Flame,1,(none - whole product blank),9999.0,bbq island,Cal Flame Malibu Q 8 Ft. BBQ Island L-Shaped - BBK830 - Stainless Steel - 4 Burner - Refrigerator,shopify_US_463532363_21205674051
463420367,Cal Flame,1,(none - whole product blank),8499.0,bbq island,Cal Flame Bel Air Q 8 ft. BBQ Island - BBK810 - Steel - 4 Burner Grill - Refrigerator,shopify_US_463420367_21205631555
5507221848232,Cal Flame,1,(none - whole product blank),8499.0,bbq island,Cal Flame 8 Foot L-shaped Design Your Own BBQ Island Carmel Q 870 - Stucco - Outdoor Kitchen,shopify_US_5507221848232_43540726186225
463421807,Cal Flame,1,(none - whole product blank),8299.0,bbq island,Cal Flame Avalon Q 8 Ft. BBQ Island L-Shaped - BBK820 - Stucco - 4 Burner Grill - Refrigerator,shopify_US_463421807_21205658307
463417007,Cal Flame,1,(none - whole product blank),7999.0,bbq island,Cal Flame Atlantic Q 8 ft. BBQ Island - BBK801 - Stucco - 4 Burner Grill - Refrigerator,shopify_US_463417007_21205597955
463416551,Cal Flame,1,(none - whole product blank),6999.0,bbq island,"Cal Flame 7 foot BBQ Grill Island with 4-Burner Gas Grill, Rotisserie Kit, Fridge, Side Burner",shopify_US_463416551_43424625754353
6254752858280,Cal Flame,1,(none - whole product blank),6499.0,bbq island,Cal Flame 7 foot Wood Panel Grill Island with Tile Top and 4-Burner Gas Grill - Stainless Steel,shopify_US_6254752858280_37840136143016
7993950208241,Cal Flame,1,(none - whole product blank),6499.0,bbq island,"Cal Flame 7 foot BBQ Island with Four Burner Grill, Fridge, Side Burner and More - BBK701-GS",shopify_US_7993950208241_43935491948785
463534043,Cal Flame,1,(none - whole product blank),6299.0,bbq island,Cal Flame Maui Q 4 Ft. L-Shaped BBQ Island - Stainless Steel - 4 Burner Grill - Outdoor,shopify_US_463534043_21203796483
461348999,Cal Flame,1,(none - whole product blank),5999.0,bbq island,Cal Flame Pacifica Q 7 ft. BBQ Island - BBK701 - Stucco - 4 Burner Grill - Refrigerator,shopify_US_461348999_21205510147
461348715,Cal Flame,1,(none - whole product blank),5199.0,bbq island,Cal Flame Kona 6 Ft. BBQ Island - Stainless Steel - 4 Burner - Rotisserie System,shopify_US_461348715_21205259011
910127555,Bull,1,(none - whole product blank),5039.0,bbq cart - with grill,Bull Brahma Grill and Cart with Lights - Propane or Natural Gas 55000 / 55001 - Stainless Steel,shopify_US_910127555_40759316291
1310717378631,Cal Flame,1,(none - whole product blank),4999.0,bbq island,Cal Flame Kauai Q 4 Ft. L-Shaped BBQ Island - 4 Burner Grill - Stainless Steel,shopify_US_1310717378631_12337158029383
7492053074161,Cal Flame,1,(none - whole product blank),4999.0,bbq island,Cal Flame 7 foot Cultured Stone Grill Island with 4-Burner Gas Grill,shopify_US_7492053074161_42172950905073
910161731,Bull,1,(none - whole product blank),4684.99,pizza oven,Bull Extra Large Pizza Oven (oven only) 66040 - Stainless Steel - Portable - Made in Italy,shopify_US_910161731_2985325891
910160707,Bull,1,(none - whole product blank),4499.99,pizza oven accessory,Bull Large Pizza Oven Cart (cart only) 66039,shopify_US_910160707_2985325123
910051971,Bull,1,(none - whole product blank),3299.0,bbq cart - with grill,Bull Lonestar Select Gas Grill and Cart - Stainless Steel - 4-Burner - Propane or Natural Gas,shopify_US_910051971_40759335491
910050755,Bull,2,(none - whole product blank),2919.0,bbq cart - with grill,"Bull Outdoor Outlaw 30 Inch Grill with Cart - Stainless Steel - 4 Burners - Side Shelves, Liquid Propane",shopify_US_910050755_40737757298856
911837507,Bull,2,(none - whole product blank),2439.0,bbq cart - with grill,"Bull Bull Steer Premium Grill and Cart - Stainless Steel - Heavy Duty Casters - Warming Rack, Natural Gas",shopify_US_911837507_46065869848817
4965723242636,Bull,1,(none - whole product blank),2349.0,bbq cart - with grill,Bull Steer Premium Grill and Cart 69102 - Stainless Steel - Natural Gas - Casters,shopify_US_4965723242636_33564736454796
7539388154097,,1,(none - whole product blank),2098.75,,New Combo,shopify_US_7539388154097_42370929885425
5763910959272,Bull,2,(none - whole product blank),1609.0,bbq grill,"Bull Steer Premium 24-Inch Drop In Gas Grill with 3 Burners - Stainless Steel, Natural Gas",shopify_US_5763910959272_40003218800808
910159491,Bull,1,(none - whole product blank),729.0,bbq island accessories,"Bull Insulated Grill Jacket for 38"" Brahma Grills 47018 - Stainless Steel - Self-Supporting",shopify_US_910159491_2985323011
